transaction_id,customer_id,transaction_amount,payment_method,failure_type,customer_segment,previous_failures,customer_lifetime_value,days_since_last_purchase,retry_count,account_age_days,website_visits_last_30_days,cart_additions_last_30_days,recovery_probability,recovered,recovered_revenue,recovery_method,severity_score
TXN100131,CUST19590,1224.25,net_banking,network_error,new,0,2615.02,47,3,742,6,1,0.725,0,0.0,smart_retry,62
TXN100132,CUST16690,1149.92,upi,expired_card,regular,2,15124.37,83,2,873,2,3,0.505,1,1149.92,alternative_payment,68
TXN100133,CUST18117,657.94,upi,network_error,at_risk,0,2793.4,282,0,961,5,2,0.675,0,0.0,smart_retry,50
TXN100134,CUST11442,853.93,upi,expired_card,regular,1,11744.94,207,4,1719,7,1,0.485,1,853.93,alternative_payment,71
TXN100135,CUST10018,1116.91,wallet,gateway_error,regular,2,8044.19,97,4,770,6,1,0.585,1,1116.91,smart_retry,76
TXN100136,CUST18167,1525.45,net_banking,card_declined,regular,1,8460.73,282,1,1929,3,0,0.39,1,1525.45,customer_outreach,59
TXN100137,CUST17178,585.09,net_banking,card_declined,premium,0,11313.5,323,4,1666,4,2,0.52,1,585.09,customer_outreach,71
TXN100138,CUST13920,863.77,debit_card,expired_card,regular,0,4603.6,283,3,220,4,1,0.515,0,0.0,alternative_payment,62
TXN100139,CUST13681,208.5,credit_card,gateway_error,at_risk,0,17110.64,332,1,1050,4,3,0.645,1,208.5,smart_retry,54
TXN100140,CUST14781,850.21,wallet,network_error,regular,0,8005.19,248,3,529,3,0,0.625,1,850.21,smart_retry,62
TXN100141,CUST17483,1085.77,wallet,insufficient_funds,regular,0,12880.03,307,4,1558,4,0,0.3,0,0.0,payment_plan,66
TXN100142,CUST11143,980.03,upi,gateway_error,regular,1,31868.29,260,2,1710,8,1,0.73,0,0.0,smart_retry,63
TXN100143,CUST10042,4457.09,upi,network_error,regular,3,4991.18,301,4,1381,2,2,0.515,1,4457.09,smart_retry,81
TXN100144,CUST18022,1279.24,debit_card,gateway_error,regular,0,5631.57,177,2,1160,1,2,0.685,1,1279.24,smart_retry,58
TXN100145,CUST18903,2392.92,net_banking,gateway_error,at_risk,1,4790.95,97,1,1201,1,2,0.54,1,2392.92,smart_retry,59
TXN100146,CUST16274,2095.26,debit_card,gateway_error,premium,1,4422.96,243,3,820,2,2,0.775,1,2095.26,smart_retry,72
TXN100147,CUST12492,2824.69,net_banking,card_declined,premium,3,34180.73,303,2,1811,4,1,0.47,1,2824.69,customer_outreach,78
TXN100148,CUST11644,800.73,net_banking,card_declined,regular,0,6215.71,234,0,1509,8,2,0.59,0,0.0,smart_retry,50
TXN100149,CUST16717,558.23,debit_card,card_declined,regular,3,12116.46,136,2,1306,2,1,0.29,0,0.0,human_escalation,73
TXN100150,CUST16512,1512.3,credit_card,expired_card,new,2,14456.38,274,3,1984,6,1,0.505,1,1512.3,alternative_payment,72
TXN100151,CUST15188,957.32,net_banking,authentication_failed,premium,1,4103.45,36,1,1322,4,2,0.635,0,0.0,customer_outreach,64
TXN100152,CUST14708,427.35,debit_card,network_error,premium,0,3344.1,51,0,938,7,1,0.95,1,427.35,smart_retry,55
TXN100153,CUST12725,2340.82,upi,card_declined,premium,0,5123.54,29,2,764,3,1,0.56,0,0.0,customer_outreach,63
TXN100154,CUST16141,3165.62,net_banking,insufficient_funds,regular,1,17416.13,211,4,1426,3,0,0.25,1,3165.62,payment_plan,71
TXN100155,CUST12785,2030.6,debit_card,card_declined,regular,1,13983.42,196,4,1429,3,0,0.27,0,0.0,human_escalation,71
TXN100156,CUST13945,1240.66,net_banking,authentication_failed,premium,1,12853.95,237,2,971,4,1,0.57,1,1240.66,customer_outreach,68
TXN100157,CUST14183,438.33,credit_card,gateway_error,at_risk,0,3166.63,347,4,353,2,1,0.445,1,438.33,smart_retry,66
TXN100158,CUST11210,810.03,net_banking,expired_card,at_risk,2,2262.53,154,3,1443,4,1,0.295,0,0.0,alternative_payment,72
TXN100159,CUST14097,1968.67,net_banking,expired_card,regular,0,15100.56,197,3,248,5,0,0.505,1,1968.67,alternative_payment,62
TXN100160,CUST13886,619.75,net_banking,authentication_failed,regular,1,4181.79,152,2,74,4,1,0.42,0,0.0,customer_outreach,63
TXN100161,CUST16484,226.84,upi,card_declined,regular,2,16436.11,352,0,1894,4,1,0.435,1,226.84,alternative_payment,60
TXN100162,CUST18138,532.85,upi,insufficient_funds,regular,1,12754.56,181,1,1333,4,0,0.385,0,0.0,payment_plan,59
TXN100163,CUST14106,1249.34,debit_card,network_error,premium,1,20310.84,322,0,662,4,0,0.875,1,1249.34,smart_retry,60
TXN100164,CUST17222,481.49,credit_card,authentication_failed,regular,3,7735.79,68,0,1892,3,2,0.44,0,0.0,customer_outreach,65
TXN100165,CUST14835,728.86,upi,network_error,regular,0,13121.16,103,1,1640,4,3,0.795,1,728.86,smart_retry,54
TXN100166,CUST18837,1946.95,upi,authentication_failed,regular,1,7613.9,140,1,556,4,1,0.46,0,0.0,customer_outreach,59
TXN100167,CUST17894,1993.2,upi,network_error,new,2,4748.03,59,3,184,5,0,0.615,0,0.0,smart_retry,72
TXN100168,CUST12306,922.78,debit_card,network_error,new,1,11929.15,204,4,779,4,1,0.62,1,922.78,smart_retry,71
TXN100169,CUST11479,1242.01,net_banking,card_declined,regular,2,9828.0,64,3,784,6,0,0.32,0,0.0,alternative_payment,72
TXN100170,CUST14295,3517.13,wallet,gateway_error,new,1,9693.05,191,0,1412,6,2,0.835,1,3517.13,smart_retry,55
TXN100171,CUST13830,2547.96,net_banking,card_declined,regular,1,7956.19,288,2,1904,3,0,0.35,0,0.0,alternative_payment,63
TXN100172,CUST13626,3133.78,credit_card,network_error,new,2,6261.3,359,2,1359,6,1,0.695,1,3133.78,smart_retry,68
TXN100173,CUST16689,844.43,credit_card,insufficient_funds,premium,1,12325.33,20,2,1038,4,0,0.495,0,0.0,payment_plan,68
TXN100174,CUST11592,1531.56,debit_card,authentication_failed,premium,4,9354.99,233,2,1403,4,2,0.49,0,0.0,customer_outreach,83
TXN100175,CUST18850,774.36,net_banking,authentication_failed,new,2,7536.95,80,3,1371,5,2,0.415,1,774.36,customer_outreach,72
TXN100176,CUST11622,1683.44,net_banking,authentication_failed,regular,0,5948.05,144,0,1443,3,0,0.495,0,0.0,customer_outreach,50
TXN100177,CUST16070,1844.5,debit_card,gateway_error,regular,0,2223.75,121,2,233,2,3,0.725,0,0.0,smart_retry,58
TXN100178,CUST16018,1767.46,wallet,network_error,regular,0,4820.03,204,2,418,4,2,0.73,1,1767.46,smart_retry,58
TXN100179,CUST12001,1302.9,net_banking,card_declined,regular,3,13541.91,329,4,73,6,2,0.295,0,0.0,human_escalation,81
TXN100180,CUST10828,1151.74,upi,insufficient_funds,at_risk,0,2249.42,290,1,170,7,0,0.315,0,0.0,payment_plan,54
TXN100181,CUST19607,824.08,debit_card,insufficient_funds,regular,0,1385.48,76,4,35,3,1,0.27,0,0.0,customer_outreach,66
TXN100182,CUST12370,613.2,debit_card,authentication_failed,regular,1,4743.22,90,0,1383,0,0,0.415,0,0.0,customer_outreach,55
TXN100183,CUST10422,896.96,debit_card,card_declined,regular,2,4439.4,122,4,693,3,1,0.26,0,0.0,human_escalation,76
TXN100184,CUST10258,2207.03,debit_card,expired_card,premium,3,8242.42,216,4,262,4,2,0.545,0,0.0,alternative_payment,86
TXN100185,CUST11041,1204.91,net_banking,gateway_error,new,1,4955.14,263,4,253,3,1,0.605,1,1204.91,smart_retry,71
TXN100186,CUST17405,947.52,wallet,insufficient_funds,at_risk,3,4817.44,23,4,647,1,2,0.05,0,0.0,customer_outreach,81
TXN100187,CUST10510,736.5,credit_card,gateway_error,new,1,10820.55,219,0,1034,2,1,0.75,1,736.5,smart_retry,55
TXN100188,CUST17267,767.65,credit_card,card_declined,regular,0,8727.86,76,0,288,7,0,0.525,1,767.65,customer_outreach,50
TXN100189,CUST19590,922.65,wallet,network_error,regular,4,25507.76,306,4,633,6,0,0.49,0,0.0,smart_retry,86
TXN100190,CUST17433,585.89,wallet,authentication_failed,regular,0,5743.79,360,0,1776,3,1,0.52,0,0.0,customer_outreach,50
TXN100191,CUST19033,380.4,debit_card,gateway_error,regular,0,22426.31,117,3,724,5,2,0.705,1,380.4,smart_retry,62
TXN100192,CUST17430,1035.42,net_banking,gateway_error,new,0,6026.92,161,3,670,1,1,0.65,0,0.0,smart_retry,62
TXN100193,CUST14176,1725.07,upi,insufficient_funds,regular,3,6203.97,243,0,216,5,1,0.395,1,1725.07,payment_plan,65
TXN100194,CUST11527,951.03,net_banking,card_declined,new,1,21637.36,191,1,1169,1,0,0.39,0,0.0,smart_retry,59
TXN100195,CUST19608,1141.07,wallet,authentication_failed,regular,1,12030.03,63,3,754,4,3,0.43,1,1141.07,customer_outreach,67
TXN100196,CUST16929,819.63,credit_card,expired_card,regular,0,2919.99,181,0,1213,7,0,0.655,0,0.0,alternative_payment,50
TXN100197,CUST18313,1306.27,debit_card,insufficient_funds,regular,0,6157.62,115,0,747,7,1,0.53,1,1306.27,customer_outreach,50
TXN100198,CUST11882,744.58,upi,authentication_failed,regular,1,24332.07,220,4,1601,8,0,0.375,1,744.58,customer_outreach,71
TXN100199,CUST19121,2339.69,credit_card,authentication_failed,at_risk,1,6880.43,356,2,89,5,1,0.285,1,2339.69,customer_outreach,63
TXN100200,CUST12955,663.57,upi,network_error,new,0,11222.12,174,2,42,3,1,0.72,0,0.0,smart_retry,58
TXN100201,CUST12972,2037.61,debit_card,authentication_failed,regular,0,12215.59,36,1,1547,0,3,0.485,1,2037.61,customer_outreach,54
TXN100202,CUST10502,1725.23,credit_card,network_error,regular,3,20867.81,193,3,959,2,1,0.53,1,1725.23,smart_retry,77
TXN100203,CUST15585,1175.46,debit_card,expired_card,regular,1,7274.9,167,4,1251,3,2,0.45,0,0.0,alternative_payment,71
TXN100204,CUST11391,987.44,credit_card,insufficient_funds,regular,0,4593.25,317,0,1410,5,0,0.475,0,0.0,payment_plan,50
TXN100205,CUST14458,1657.43,net_banking,network_error,regular,2,3006.68,311,3,878,4,1,0.595,1,1657.43,smart_retry,72
TXN100206,CUST14475,534.6,debit_card,authentication_failed,premium,3,15149.85,221,0,610,3,1,0.565,1,534.6,customer_outreach,70
TXN100207,CUST19717,780.04,net_banking,authentication_failed,regular,1,9153.43,24,1,839,0,1,0.4,0,0.0,customer_outreach,59
TXN100208,CUST19819,886.13,credit_card,card_declined,regular,1,9174.22,109,1,1595,3,0,0.39,0,0.0,customer_outreach,59
