transaction_id,transaction_amount,payment_method,failure_type,customer_segment,failure_category,severity_score,risk_score,risk_level,priority,initial_handling,recovery_probability,ai_strategy,expected_revenue,strategy_cost,expected_net_value,strategy_reason,message_subject,message_body,message_tone,generation_method,actual_recovered,actual_recovered_revenue
TXN100019,1808.92,credit_card,network_error,new,technical,54,62,MEDIUM,HIGH,smart_retry,0.5303,smart_retry,1205.07,5,1200.07,Retry the payment using optimized timing.,Your payment could not be completed,"Welcome,

We noticed that your recent payment of
₹1,808.92 could not be completed.

A temporary connection issue interrupted the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","welcoming, reassuring and helpful",template,1,1808.92
TXN100020,439.59,upi,card_declined,regular,payment_decline,73,34,LOW,HIGH,alternative_payment,0.2881,smart_retry,202.59,5,197.59,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹439.59 could not be completed.

Your card issuer declined the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,439.59
TXN100021,1011.63,wallet,insufficient_funds,regular,funding_issue,83,46,MEDIUM,HIGH,payment_plan,0.3307,smart_retry,492.08,5,487.08,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹1,011.63 could not be completed.

There may not be enough available balance to complete the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,0,0.0
TXN100022,1274.26,upi,insufficient_funds,regular,funding_issue,69,10,LOW,HIGH,payment_plan,0.6516,smart_retry,865.17,5,860.17,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹1,274.26 could not be completed.

There may not be enough available balance to complete the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,1274.26
TXN100023,1589.35,credit_card,card_declined,at_risk,payment_decline,75,68,MEDIUM,URGENT,alternative_payment,0.2217,smart_retry,669.15,5,664.15,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹1,589.35 could not be completed.

Your card issuer declined the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","empathetic, supportive and non-aggressive",template,0,0.0
TXN100024,837.61,wallet,card_declined,premium,payment_decline,65,0,LOW,MEDIUM,alternative_payment,0.6003,smart_retry,542.92,5,537.92,Retry the payment using optimized timing.,Personal assistance needed to complete your payment,"Hello, valued customer,

We noticed that your recent payment of
₹837.61 could not be completed.

Your card issuer declined the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","professional, personalized and concierge-style",template,1,837.61
TXN100025,5181.62,debit_card,insufficient_funds,regular,funding_issue,80,38,LOW,HIGH,payment_plan,0.3413,smart_retry,2553.4,5,2548.4,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹5,181.62 could not be completed.

There may not be enough available balance to complete the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,5181.62
TXN100026,1522.7,wallet,network_error,regular,technical,43,34,LOW,MEDIUM,smart_retry,0.5309,smart_retry,1014.94,5,1009.94,Retry the payment using optimized timing.,Your payment could not be completed,"Hello,

We noticed that your recent payment of
₹1,522.70 could not be completed.

A temporary connection issue interrupted the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,0,0.0
TXN100027,1401.42,net_banking,authentication_failed,regular,authentication_issue,77,18,LOW,HIGH,customer_outreach,0.5268,customer_outreach,857.78,15,842.78,Send personalized payment recovery communication.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹1,401.42 could not be completed.

The payment could not be authenticated.

We'd like to help you complete your
purchase with minimal interruption.

Please review your payment details and complete the payment.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,0,0.0
TXN100028,939.83,credit_card,authentication_failed,regular,authentication_issue,73,8,LOW,HIGH,customer_outreach,0.6335,smart_retry,627.9,5,622.9,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹939.83 could not be completed.

The payment could not be authenticated.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,939.83
TXN100029,1008.82,credit_card,insufficient_funds,premium,funding_issue,84,26,LOW,HIGH,payment_plan,0.4773,smart_retry,579.45,5,574.45,Retry the payment using optimized timing.,Personal assistance needed to complete your payment,"Hello, valued customer,

We noticed that your recent payment of
₹1,008.82 could not be completed.

There may not be enough available balance to complete the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","professional, personalized and concierge-style",template,1,1008.82
TXN100030,1180.61,net_banking,insufficient_funds,regular,funding_issue,81,42,MEDIUM,HIGH,payment_plan,0.3239,smart_retry,569.46,5,564.46,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹1,180.61 could not be completed.

There may not be enough available balance to complete the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,0,0.0
TXN100031,799.37,net_banking,insufficient_funds,premium,funding_issue,83,24,LOW,HIGH,payment_plan,0.4135,smart_retry,428.54,5,423.54,Retry the payment using optimized timing.,Personal assistance needed to complete your payment,"Hello, valued customer,

We noticed that your recent payment of
₹799.37 could not be completed.

There may not be enough available balance to complete the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","professional, personalized and concierge-style",template,1,799.37
TXN100032,1967.93,net_banking,network_error,premium,technical,43,10,LOW,MEDIUM,smart_retry,0.7651,smart_retry,1588.24,5,1583.24,Retry the payment using optimized timing.,Personal assistance needed to complete your payment,"Hello, valued customer,

We noticed that your recent payment of
₹1,967.93 could not be completed.

A temporary connection issue interrupted the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","professional, personalized and concierge-style",template,0,0.0
TXN100033,951.94,upi,card_declined,regular,payment_decline,80,52,MEDIUM,HIGH,alternative_payment,0.3196,smart_retry,456.7,5,451.7,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹951.94 could not be completed.

Your card issuer declined the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,0,0.0
TXN100034,3800.95,debit_card,expired_card,regular,payment_method_issue,68,34,LOW,HIGH,customer_outreach,0.4973,alternative_payment,2396.04,10,2386.04,Ask the customer to use another payment method.,Update your payment method to continue,"Hello,

We noticed that your recent payment of
₹3,800.95 could not be completed.

The payment method appears to be expired.

We'd like to help you complete your
purchase with minimal interruption.

Please try another available payment method.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,3800.95
TXN100035,2066.95,credit_card,card_declined,regular,payment_decline,64,10,LOW,MEDIUM,alternative_payment,0.4632,smart_retry,1169.73,5,1164.73,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹2,066.95 could not be completed.

Your card issuer declined the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,2066.95
TXN100036,807.4,net_banking,gateway_error,regular,technical,35,0,LOW,LOW,smart_retry,0.8057,smart_retry,671.29,5,666.29,Retry the payment using optimized timing.,Your payment could not be completed,"Hello,

We noticed that your recent payment of
₹807.40 could not be completed.

We experienced a temporary payment processing issue.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,0,0.0
TXN100037,1083.16,credit_card,gateway_error,regular,technical,41,16,LOW,MEDIUM,smart_retry,0.5982,smart_retry,765.71,5,760.71,Retry the payment using optimized timing.,Your payment could not be completed,"Hello,

We noticed that your recent payment of
₹1,083.16 could not be completed.

We experienced a temporary payment processing issue.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,1083.16
TXN100038,1536.98,net_banking,insufficient_funds,regular,funding_issue,73,20,LOW,HIGH,payment_plan,0.4756,smart_retry,881.24,5,876.24,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹1,536.98 could not be completed.

There may not be enough available balance to complete the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,1536.98
TXN100039,1268.59,credit_card,card_declined,regular,payment_decline,72,32,LOW,HIGH,alternative_payment,0.4179,smart_retry,683.44,5,678.44,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹1,268.59 could not be completed.

Your card issuer declined the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,1268.59
TXN100040,1020.34,credit_card,insufficient_funds,premium,funding_issue,77,8,LOW,HIGH,payment_plan,0.5626,smart_retry,638.28,5,633.28,Retry the payment using optimized timing.,Personal assistance needed to complete your payment,"Hello, valued customer,

We noticed that your recent payment of
₹1,020.34 could not be completed.

There may not be enough available balance to complete the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","professional, personalized and concierge-style",template,0,0.0
TXN100041,316.32,debit_card,authentication_failed,regular,authentication_issue,78,20,LOW,HIGH,customer_outreach,0.5508,smart_retry,195.64,5,190.64,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹316.32 could not be completed.

The payment could not be authenticated.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,0,0.0
TXN100042,1328.84,wallet,authentication_failed,regular,authentication_issue,85,38,LOW,HIGH,customer_outreach,0.5774,customer_outreach,853.7,15,838.7,Send personalized payment recovery communication.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹1,328.84 could not be completed.

The payment could not be authenticated.

We'd like to help you complete your
purchase with minimal interruption.

Please review your payment details and complete the payment.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,1328.84
TXN100043,818.49,debit_card,expired_card,regular,payment_method_issue,65,26,LOW,HIGH,customer_outreach,0.5134,alternative_payment,523.87,10,513.87,Ask the customer to use another payment method.,Update your payment method to continue,"Hello,

We noticed that your recent payment of
₹818.49 could not be completed.

The payment method appears to be expired.

We'd like to help you complete your
purchase with minimal interruption.

Please try another available payment method.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,0,0.0
TXN100044,2360.3,credit_card,card_declined,regular,payment_decline,68,20,LOW,HIGH,alternative_payment,0.483,smart_retry,1363.78,5,1358.78,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹2,360.30 could not be completed.

Your card issuer declined the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,0,0.0
TXN100045,2181.95,wallet,expired_card,premium,payment_method_issue,64,0,LOW,MEDIUM,customer_outreach,0.7647,alternative_payment,1725.53,10,1715.53,Ask the customer to use another payment method.,Personal assistance needed to complete your payment,"Hello, valued customer,

We noticed that your recent payment of
₹2,181.95 could not be completed.

The payment method appears to be expired.

We'd like to help you complete your
purchase with minimal interruption.

Please try another available payment method.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","professional, personalized and concierge-style",template,1,2181.95
TXN100046,1092.22,upi,expired_card,regular,payment_method_issue,65,26,LOW,HIGH,customer_outreach,0.4124,alternative_payment,632.88,10,622.88,Ask the customer to use another payment method.,Update your payment method to continue,"Hello,

We noticed that your recent payment of
₹1,092.22 could not be completed.

The payment method appears to be expired.

We'd like to help you complete your
purchase with minimal interruption.

Please try another available payment method.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,0,0.0
TXN100047,536.03,credit_card,network_error,new,technical,38,20,LOW,MEDIUM,smart_retry,0.6275,smart_retry,388.35,5,383.35,Retry the payment using optimized timing.,Your payment could not be completed,"Welcome,

We noticed that your recent payment of
₹536.03 could not be completed.

A temporary connection issue interrupted the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","welcoming, reassuring and helpful",template,1,536.03
TXN100048,1022.93,upi,card_declined,new,payment_decline,63,8,LOW,MEDIUM,alternative_payment,0.511,smart_retry,608.23,5,603.23,Retry the payment using optimized timing.,Action needed to complete your payment,"Welcome,

We noticed that your recent payment of
₹1,022.93 could not be completed.

Your card issuer declined the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","welcoming, reassuring and helpful",template,0,0.0
TXN100049,1907.18,debit_card,network_error,regular,technical,40,26,LOW,MEDIUM,smart_retry,0.5948,smart_retry,1344.33,5,1339.33,Retry the payment using optimized timing.,Your payment could not be completed,"Hello,

We noticed that your recent payment of
₹1,907.18 could not be completed.

A temporary connection issue interrupted the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,1907.18
TXN100050,1907.24,upi,card_declined,premium,payment_decline,79,26,LOW,HIGH,alternative_payment,0.4155,smart_retry,1024.76,5,1019.76,Retry the payment using optimized timing.,Personal assistance needed to complete your payment,"Hello, valued customer,

We noticed that your recent payment of
₹1,907.24 could not be completed.

Your card issuer declined the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","professional, personalized and concierge-style",template,0,0.0
TXN100051,720.34,upi,insufficient_funds,regular,funding_issue,68,8,LOW,MEDIUM,payment_plan,0.5275,smart_retry,435.45,5,430.45,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹720.34 could not be completed.

There may not be enough available balance to complete the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,720.34
TXN100052,558.8,net_banking,authentication_failed,premium,authentication_issue,78,0,LOW,HIGH,customer_outreach,0.7201,customer_outreach,424.72,15,409.72,Send personalized payment recovery communication.,Personal assistance needed to complete your payment,"Hello, valued customer,

We noticed that your recent payment of
₹558.80 could not be completed.

The payment could not be authenticated.

We'd like to help you complete your
purchase with minimal interruption.

Please review your payment details and complete the payment.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","professional, personalized and concierge-style",template,1,558.8
TXN100053,718.44,upi,authentication_failed,regular,authentication_issue,73,8,LOW,HIGH,customer_outreach,0.5743,smart_retry,454.47,5,449.47,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹718.44 could not be completed.

The payment could not be authenticated.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,718.44
TXN100054,938.88,upi,card_declined,new,payment_decline,75,38,LOW,HIGH,alternative_payment,0.373,smart_retry,480.52,5,475.52,Retry the payment using optimized timing.,Action needed to complete your payment,"Welcome,

We noticed that your recent payment of
₹938.88 could not be completed.

Your card issuer declined the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","welcoming, reassuring and helpful",template,0,0.0
TXN100055,1315.33,wallet,gateway_error,at_risk,technical,38,38,LOW,MEDIUM,smart_retry,0.4324,smart_retry,798.98,5,793.98,Retry the payment using optimized timing.,Your payment could not be completed,"Hello,

We noticed that your recent payment of
₹1,315.33 could not be completed.

We experienced a temporary payment processing issue.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","empathetic, supportive and non-aggressive",template,1,1315.33
TXN100056,717.88,debit_card,gateway_error,premium,technical,53,24,LOW,MEDIUM,smart_retry,0.617,smart_retry,515.58,5,510.58,Retry the payment using optimized timing.,Personal assistance needed to complete your payment,"Hello, valued customer,

We noticed that your recent payment of
₹717.88 could not be completed.

We experienced a temporary payment processing issue.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","professional, personalized and concierge-style",template,1,717.88
TXN100057,1547.46,upi,insufficient_funds,new,funding_issue,78,34,LOW,HIGH,payment_plan,0.3937,smart_retry,811.21,5,806.21,Retry the payment using optimized timing.,Action needed to complete your payment,"Welcome,

We noticed that your recent payment of
₹1,547.46 could not be completed.

There may not be enough available balance to complete the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","welcoming, reassuring and helpful",template,1,1547.46
TXN100058,2342.7,debit_card,insufficient_funds,new,funding_issue,71,16,LOW,HIGH,payment_plan,0.4694,smart_retry,1334.5,5,1329.5,Retry the payment using optimized timing.,Action needed to complete your payment,"Welcome,

We noticed that your recent payment of
₹2,342.70 could not be completed.

There may not be enough available balance to complete the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","welcoming, reassuring and helpful",template,0,0.0
